127.0.0.1 - - [12/Jan/2023:21:36:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:16 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:16 +0530] "GET /web2/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9060
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:16 +0530] "GET /web2/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:16 +0530] "GET /web2/asset/css/bootstrap.min.css HTTP/1.1" 200 164309
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:16 +0530] "GET /web2/asset/css/style.css HTTP/1.1" 200 4998
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/chart/chart.min.js HTTP/1.1" 200 194890
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 200 32832
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/asset/js/main.js HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:17 +0530] "GET /web2/img/ronak.jpg HTTP/1.1" 200 84418
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:35 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:35 +0530] "GET /web2/asset/css/style.css HTTP/1.1" 200 4998
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:35 +0530] "GET /web2/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9060
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:35 +0530] "GET /web2/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:35 +0530] "GET /web2/asset/css/bootstrap.min.css HTTP/1.1" 200 164309
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:36 +0530] "GET /web2/img/ronak.jpg HTTP/1.1" 200 84418
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/chart/chart.min.js HTTP/1.1" 200 194890
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 200 32832
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:37 +0530] "GET /web2/asset/js/main.js HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:48 +0530] "GET /web2/img/favicon.ico HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:36:56 +0530] "GET /web2/users.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:37:07 +0530] "GET /web2/users.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:37:18 +0530] "GET /web2/typography.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:37:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:43:54 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:44:07 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:44:13 +0530] "GET /web2/usersupdate.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:44:22 +0530] "GET /web2/usersdelete.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [12/Jan/2023:21:44:27 +0530] "GET /web2/users.jsp HTTP/1.1" 200 1543
