0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:13:01 +0530] "GET /web2/images/favicon.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:13:15 +0530] "GET /web2/adduser.jsp HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:13:15 +0530] "GET /web2/adduser.jsp HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:13:24 +0530] "GET /web2/admin.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:13:35 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:13:40 +0530] "GET /web2/users.html HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:04 +0530] "GET /web2/adminDelete.jsp HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:19 +0530] "GET /web2/adminUpdate.jsp HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/afterlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/homepage.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160308
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/assets/css/owl.css HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/assets/css/lightbox.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/templatemo-grad-school.css HTTP/1.1" 200 29681
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:36 +0530] "GET /web2/fontawesome.css HTTP/1.1" 200 23742
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:37 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:37 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:37 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:53 +0530] "GET /web2/afterlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:53 +0530] "GET /web2/homepage.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:53 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:53 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:14:53 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/afterlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/homepage.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160308
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/fontawesome.css HTTP/1.1" 200 23742
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/templatemo-grad-school.css HTTP/1.1" 200 29681
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/assets/css/owl.css HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:05 +0530] "GET /web2/assets/css/lightbox.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:07 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
